Fight,Name,Job,DPS,Rank,patch_number
Dancing Green,Rico Pestano,scholar,26771.5,35,7.2
Sugar Riot,Dumb Blonde,astrologian,10138.928473597,65,7.2
Sugar Riot,Torvalis Highwind,scholar,10109.066357843,55,7.2
Sugar Riot,Dumb Blonde,astrologian,20248,67,7.2
Brute Abombinator,Bubby Butterbutts,whitemage,15666.177787175,61,7.2
Brute Abombinator,Azami Ayato,sage,13449.601173311,16,7.2
Brute Abombinator,Bubby Butterbutts,whitemage,29115.8,42,7.2
Dancing Green,Kasurumi Tamura,machinist,27985.904438527,58,7.2
Dancing Green,Brew Meister,ninja,28565.281026994,55,7.2
Dancing Green,Melon Pan,reaper,28051.548423281,26,7.2
Dancing Green,Mocha Latte,pictomancer,26008.242762319,26,7.2
Sugar Riot,Melena Zbik,bard,17955.153579133,60,7.2
Sugar Riot,Melon Pan,reaper,24826.574864343,89,7.2
Sugar Riot,Kashern Amaya,viper,21936.470813439,6,7.2
Sugar Riot,Mocha Latte,pictomancer,21757.655702056,62,7.2
Brute Abombinator,Alexander Storm,bard,23068.732557425,78,7.2
Brute Abombinator,Pym Phuk,dragoon,27799.571405648,24,7.2
Brute Abombinator,Melon Pan,reaper,28649.019016812,34,7.2
Brute Abombinator,Mocha Latte,pictomancer,28192.384577202,41,7.2
Dancing Green,Duran Zagash,warrior,17195.629086599,3,7.2
Dancing Green,Eiken Ryu,gunbreaker,18902.554166167,13,7.2
Dancing Green,Duran Zagash,warrior,36098.2,4,7.2
Dancing Green,Kiara Blaiddyd,whitemage,16482.090541062,78,7.2
Dancing Green,Ou Gi,sage,14389.69178219,31,7.2
Dancing Green,Kiara Blaiddyd,whitemage,30871.8,71,7.2
Dancing Green,Zahya Virseli,redmage,25057.906529237,21,7.2
Dancing Green,Sanctus Nix,dancer,21537.095668038,20,7.2
Dancing Green,Bunny Senpaijp,reaper,23100.641870747,0,7.2
Dancing Green,Alvaena Yune,viper,34189.724661874,93,7.2
Dancing Green,Feral Jorex,darkknight,19071.116075105,17,7.2
Dancing Green,Tuffic Buffic,gunbreaker,21590.178841033,79,7.2
Dancing Green,Feral Jorex,darkknight,40661.3,60,7.2
Dancing Green,Mirandina Jorex,whitemage,14419.446045733,27,7.2
Dancing Green,Haru Morikaze,sage,12545.466867056,8,7.2
Dancing Green,Mirandina Jorex,whitemage,26964.9,13,7.2
Dancing Green,Virani Indaerus,dragoon,25401.639147383,5,7.2
Dancing Green,Suweh Femmi,dancer,22667.155631502,47,7.2
Dancing Green,Shina Rorkhan,viper,30553.545555243,35,7.2
Dancing Green,Rafal Chmiel,pictomancer,28940.66184352,77,7.2
Sugar Riot,Eva Anpan,paladin,13827.925721714,9,7.2
Sugar Riot,Sweetfish Barracuda,gunbreaker,16736.488867437,73,7.2
Sugar Riot,Eva Anpan,paladin,30564.4,29,7.2
Howling Blade,Dyras Eclipse,paladin,13818.404100907,42,7.2
Howling Blade,Malarix Holstrom,warrior,15174.410514572999,60,7.2
Howling Blade,Dyras Eclipse,paladin,28992.8,54,7.2
Sugar Riot,Ocelot Weapon,scholar,8077.1002922687,8,7.2
Sugar Riot,Vanke Boost,whitemage,11440.37660311,35,7.2
Sugar Riot,Ocelot Weapon,scholar,19517.5,17,7.2
Howling Blade,Wilter Viseria,astrologian,8100.2315157283,56,7.2
Howling Blade,Wingardium Leslieosa,scholar,5372.4204389602,16,7.2
Howling Blade,Wilter Viseria,astrologian,13472.7,27,7.2
Sugar Riot,Rua Alara,summoner,21448.102326601,75,7.2
Sugar Riot,Ohgr Teaurelin,dancer,18674.080479001,64,7.2
Sugar Riot,Ash Tyanu,reaper,20837.058006592,12,7.2
Sugar Riot,Valkurm Dunes,viper,23105.674326055,17,7.2
Howling Blade,Ohgr Teaurelin,blackmage,23279.040429284,72,7.2
Howling Blade,Sera Viseria,blackmage,20482.490587076,48,7.2
Howling Blade,Ash Tyanu,reaper,22962.578299585,81,7.2
Howling Blade,Grey Squrriel,reaper,7729.712384692,3,7.2
Dancing Green,Esmeray Morfran,paladin,20006.314251767,46,7.2
Dancing Green,Oromun Wuromun,gunbreaker,20426.768064858,44,7.2
Dancing Green,Esmeray Morfran,paladin,40433.1,57,7.2
Dancing Green,Not-a Team-player,whitemage,11517.532335546,2,7.2
Dancing Green,Sarai Arulaq,sage,11893.01631526,4,7.2
Dancing Green,Not-a Team-player,whitemage,23410.5,0,7.2
Dancing Green,Neon Prince,bard,20646.289530174,17,7.2
Dancing Green,Raimondaux Guillestet,reaper,28784.130588179,38,7.2
Dancing Green,Herlock Shomes,viper,30672.295125583,37,7.2
Dancing Green,Virtual Meliodas,pictomancer,26653.686177886,36,7.2
Dancing Green,Nitus Hyenborn,paladin,19732.14725766,38,7.2
Dancing Green,Magic Beans,warrior,20106.055775657,49,7.2
Dancing Green,Nitus Hyenborn,paladin,39838.2,58,7.2
Sugar Riot,Nitus Hyenborn,paladin,16428.672680947,76,7.2
Sugar Riot,Magic Beans,warrior,16431.678714593,64,7.2
Sugar Riot,Nitus Hyenborn,paladin,32860.4,91,7.2
Brute Abombinator,Nitus Hyenborn,paladin,18920.174179241,27,7.2
Brute Abombinator,Magic Beans,warrior,19711.676688885,57,7.2
Brute Abombinator,Nitus Hyenborn,paladin,38631.9,54,7.2
Dancing Green,Vienna Rubix,whitemage,15807.592423775,61,7.2
Dancing Green,Sessa Sunbow,sage,15943.295495865,68,7.2
Dancing Green,Vienna Rubix,whitemage,31750.9,83,7.2
Sugar Riot,Vienna Rubix,whitemage,14063.437103186,92,7.2
Sugar Riot,Sessa Sunbow,sage,13998.828128242,96,7.2
Sugar Riot,Vienna Rubix,whitemage,28062.3,98,7.2
Brute Abombinator,Vienna Rubix,whitemage,15662.401881718,61,7.2
Brute Abombinator,Sessa Sunbow,sage,15517.903074412,76,7.2
Brute Abombinator,Vienna Rubix,whitemage,31180.3,85,7.2
